,sentences
125822,"So, that you cannot remember about that."
125838,The tingling sensation which is radiating down the legs is the classical symptoms of nerve entrapment.
126104,Your doctor should check for particular laboratory tests for that including C-peptide and insulin levels in your system.
126107,"Hello doctor,I am facing a problem for one week and I am unable to breathe properly and I am getting lots of burps."
126121,If this pain is dull aching in the knee then should be muscular.
126139,Take an oral antihistamine tablet.
126246,Hi.I have read through your query in detail.
126263,After which my libido was totally reduced.
126373,I would like to know your diet habit and if you have a family history.
126405,This is for a 33-year-old female.
126469,Tablet Erythromycin 500 mg QID.
126565,It is a water-soluble vitamin and will be excreted in urine.
126659,I am very reactive.
126713,"She hit all of her milestones in terms of rolling over, crawling and walking (walked at 14.5 months), but is a toe walker."
126732,"Otherwise, constant palm sweat is present."
126746,"The neurologist said that as benign, but I did not have anything like before."
126747,I am suffering from loose and weak ligaments in my spine and elsewhere.
126796,You can also apply Neelibringadi Thaila in your scalp 1 hour before hair wash or on the previous night.
126822,I washed my hands after and got some cream to stop it from itching.
126875,"However, you can take Biotin supplements to reduce it."
126926,"For that, you need to investigate with ultrasonography of the abdomen."
126976,Your first concern is regarding the number of days of your RCT.
127031,"Stick to a gentle daily cleanser, medicated products are much more quality assured than fancy brands in the market."
127161,"Headache can be of many reasons but while pertaining it to ENT, it is mostly due to sinusitis."
127164,"But since you have got the X-ray done, kindly share it along with the reports."
127264,He suffers from frequent urination and urgency to urinate.
127319,Do my symptoms sound like Xanax withdrawal?
127327,He would taper it off gradually and stop it.
127447,A month ago I got a urine tested and there was nothing but I still have this same feeling like urine is coming out of me.
127511,My periods are all regular.
127540,That is why your brain is facing problems in registering and recalling information.
127570,Her ribs too got injured.
127611,You need to have proper medicine for sometime to get rid of the situation.
127670,Sometimes it gets better itself and no treatment is a better option.
127766,"First of all, birth control pills itself help in controlling your PCOS with added lifestyle modifications like a balanced diet and physical exercise."
127806,Apply Petroleum jelly 4 to 5 times a day.
127886,I just did some EKGs on a portable device and they all said not abnormal.
127917,"We are married for three months, and my wife has not got pregnant yet."
127944,"In effect what it does is, it disrupts the self-healing power of your skin and makes you more vulnerable to sun damage."
127952,It would include wearing a good sunscreen like SPF50+ (sun protection factor) or SPF70 with PA+++ on a daily basis.
127982,Lichenoid drug eruption.
127996,Five years ago my mother was diagnosed with fibromyalgia.
127997,I think she also has rheumatoid arthritis.
128073,Like can a PE happen out of nowhere?
128089,I really think this is HIV but if it does not show up on a test I cannot get treatment.
128091,"As per description, you are more obsessed with HIV rather than the actual scenario."
128212,I have had genital herpes for about a decade and kidney stones before as well.
128247,"Today in pregnancy test kit, result came as double red line (a red line for C and a red line for T)."
128288,"Many times, I have tried to retract my foreskin, but always in vain."
128309,Take pain killer tablets like Ibuprofen for pain relief.
128484,Stressful lifestyle also causes such problem.
128511,Is this anything serious?
128571,She is advised for Methylcobalamin 1500 OD with Becozinc multivitamin for the last six months.
128596,"If pus, then it should be painful."
128606,"Can I prevent any further damage to my tooth by taking proper care that is brushing twice, using mouthwash and gargling every time I eat?"
128627,"), which can help reduce the tension-type headache and also improve your concentration and your cognitive skills."
128723,"Maintain hygiene of the area, wash with soap and water, use vitamin containing shampoo preparation."
128799,It appears to me as a sacroiliac joint dysfunction.
128840,Have buttermilk daily before lunch.
128859,The usual dose is 20 mg daily but can go up further up to 40 mg daily.
128903,"(After these, the removed the braces would continue to close the gaps)."
128970,"It should be taken within 48 to 72 hours of unprotected sex, without vomiting and with proper dose as I advised above."
128985,"Even after squint surgery, the vision would not improve."
129024,"I have been told all other blood reports are fine, ESR now is 52."
129069,Although the literature is scarce I have seen multiple numbers of patients with cannabis-induced psychosis.
129162,"In regards to E-Cigarettes, they have been found to have a risk to the heart and lungs that do not make them a safer alternative to regular smoking."
129175,Is it because you could not perform well in mock tests?
129197,He has got a stye kind of boil in his right upper and lower eyelid.
129275,The mass or lump that is being felt may be inflammation of local gland due to infection or lymph node enlargement.
129313,Oxybutynin may need to be started if symptoms are severe and not resolving.
129457,Is my health status safe to prevent future complications in pregnancies?
129477,I kind of see this thing becoming common in people and while observing them I noticed that whenever I am in this situation my body is at rest while facial expression is changing according to what I am thinking.
129484,"Yes, you are suffering from excessive imagination or daydreaming, which is common in every individual."
129591,It is important to lose weight and to avoid fatty foods.
129655,Traumatic ulcer.
129666,My 5-year-old son has a wheezing problem right from one and a half years.
129691,I am very much anxious about my upcoming exam.
129748,"However, if the ECG shows a conduction abnormality or delays then it is of a concern and if the patient has symptoms of lightheadedness, fainting, collapses or exertional breathlessness, then it is of concern and needs more investigations and possible pacemakers if the condition persists after stopping all heart slowing medications."
129752,I understand your concern and here I would like to say that if your daughter is having an acute perforation of eardrum then that may heal by consecutive medical treatment.
129767,These patches are related to vitamin B deficiency and gastric discomfort.
129825,My penis length really frustrates me.
129891,"Lastly, I notice a cottage cheese like discharge underneath my foreskin from time to time."
130084,"Also, in cancers, increased metabolism occurs, which can result in increased metabolic rate and hence sweating or fever can be seen."
130173,Sometimes it may take a few months to completely withdraw the medication.
130239,"She had congestive heart failure, severe mitral regurgitation."
130281,"While sleeping, she feels needle pricking like effect in either side of her back."
130282,My mother was a fish seller till her age of 61 which involved lifting fish box.
130320,"So, the options here are removable partial dentures."
130380,It does not look abnormal.
130489,Will radiotherapy help in this condition?
130560,"But safety profile says, until seven weeks these pills do not cause heavy bleeding and pain, so can be prescribed by a single doctor."
130644,If I eat too much this problem gets worse.
130768,He has delayed speech development.
130871,"Other bacterial or viral infection, most likely of your upper airway that might be spreading down your airway."
130945,"When such a situation occurs it can present with wheezing, breathing trouble, chest heaviness, sneezing, running nose, itching, sinus headache, disturbed sleep and day time sleepiness."
131025,"Hence, I stopped the medication and since then I have been better."
131047,That's the bad news for you that you are experiencing the first few symptoms of oral cancer that is burning sensation at cheeks and gums and white patch at buccal mucosa or tongue and limited mouth opening.
131158,"The doctor told me to use Mupirocin T-bact, I started applying once a day and it has been 10 days."
131207,"I have a bowel movement once every week and a half, or even two weeks."
131323,Engaging in masturbation or sex would reduce the frequency and you will feel better.
131433,Try it for a week or two.
131472,Are you taking the sustained released form (DR)?
131506,It happens in this scenario: I lay on my left side and switch to my right.
131510,I did the Eppley starting on the left side but got nothing.
131570,"For your condition, I suggest you try taking the following medicines."
131668,The dentist said that I need to get treated for a receding gum line through surgery.
131683,Intraoral x-ray of the affected area.
131740,"Antihistaminics like Fexofenadine, Levocetirizine."
131744,"My recent report showed K value 49.90, I-S 2.16 D, KISA 244%, and Pachymetry 461.465."
131816,Sesame is good as the hair tonic.
131822,Any illness before starting this complaint?
131840,I had tested 22nd day and 95th day both are antibody test and got negative and my doctor asked me to retest after six months.
132002,My cycle has always been 28 days.
132055,This is a very common problem for a lot of treadmill users doing cardio exercises.
132179,One option to prevent this is to drink plenty of water before taking the tablet.
132208,I would like you to work on upper back and scapular strengthening.
132237,For your queries: 1.
132260,"Probably not relevant to my thoracic pain, but when I go to the toilet, most times I have severe lower back pain for some time after, and occasionally pain down the back of both thighs."
132300,Please share my opinion with your doctor.
132389,"If not, please suggest which one I can take?"
132407,I did a CBCT and it shows a cyst and sinusitis although I have not that much pain.
132434,My stool is also not regular.
132469,I did push quite a few tonsil stones from it.
132488,It is not uncommon for stress and anxiety to increase when you are preparing for a competitive exam.
132530,"We prefer lasik to lenses because lenses if worn throughout the day, cause damage to your corneas, sometimes this damage can be permanent."
132545,It keeps on variating.
132638,You should try taking a course of antiviral like tablet Acyclovir 400 mg thrice in a day for 5 days and apply a topical antibiotic like Mupirocin on the affected area twice daily.
132873,"And lastly, what is the possible outcome?"
132927,I again had unprotected sex after 12 hours of taking the i-pill.
132984,I have queries regarding my mom's health.
133027,"When I woke up this morning, I started feeling itches here and there in my body."
133104,Please suggest what has to be done.
133138,But the sugar is normal but occasionally sugar goes up to 170/180.
133141,It needs surgical removal of the foreskin which covers the glans penis.
133176,"I understand your concern, it is most likely submucosal lymphadenitis of the posterior pharyngeal wall."
133211,"If you are having pain on flexing and extending the elbow, you need to see a doctor and probably get an X-ray done."
133398,Will I grow or is it my final height?
133411,So you are in normal height and your age is in growing years.
133415,"Estrogen, LH, and FSH, testosterone, growth hormone."
133433,"Malocclusion, bruxism, missing or grossly decayed teeth."
133457,"After 5 days, once her symptoms reduce, stop all the drugs and start the following drug: Tablet Montair LC (Montelukast and Levocetirizine combination) 0-0-1 (at evening 7 PM) for one month."
133459,The inhaler is completely safe and does not cause addiction.
133496,"In fact, it is only the health of embryo, which determines viability (and it cannot be altered through medicines), second hypothesized intervention being progesterone support (which you are already taking)."
133500,"If levels were not checked, you can get it checked or start supplements, as there is no harm in taking water-soluble vitamins."
133526,Sinuses are air-filled cavities in your skull and facial bones which open into the nose through a small hole called ostium.
133599,My daughter just had a tooth surgery and bleeding is not stopping.
133622,Incision and drainage followed by antibiotic and either Diclofenac with serratiopeptidase should be taken 2 to 3 times a day for seven days.
133677,There was some free blood in the uterus which he said may be from further implantation of the placenta.
133776,This is needed until all the blisters are crusted over.
133813,Acid peptic disease.
133855,Advice from gastroenterologist is absolutely recommended for you; also avoid fatty meal and alcohol.
133913,If you could arrange for getting a USG abdomen done earlier it would be good.
134007,"I found blood in my stool this morning, for the first time in life."
134128,"In the case of retained products inside the vagina, you might need evacuation if you observe heavy bleeding or pain or both."
134144,"It is a swelling, and I wonder what can I do to take it away, other than surgery?"
134212,I hope your father is managing well with his diabetes and blood pressure.
134243,I went to emergency and they said I have a cyst in my right lung.
134253,Symptoms are high heart rate (150 to 170) and breathing problems.
134289,I have a habit of checking my images myself.
134301,The measurements of the aorta at sino-tubular junction and sinus are within normal limits.
134352,"Only, a post-exposure vaccine is advised in rabies."
134375,"There may also be injuries over the body.If a seizure occurs during sleep, then it could be life threatening as the vomitus may be aspirated into the air passage (trachea and lungs) and may cause difficulty in breathing."
134388,I am 38 years old and I am 67 kg and 169 cm.
134457,"Do regular physical activities like walking, watch TV, listen to songs at least for 20 to 30 minutes daily."
134460,"If depressed, you will need talking therapy or counseling, sometimes antidepressant medication will also be prescribed to make you feel better."
134481,It is your teenage and you are in growing and developmental phase of life still.
134496,"According to the Schamroth's test, I have a very small window."
134528,Capsule Esomeprazole 40 mg once daily before breakfast for four weeks.
134572,"Please reply, and if you want to ask questions about me,feel free."
134599,"My height is 176 cm, and I weigh 76 kg."
134611,I am facing a problem with delusion.
134698,The taste may be because of the pus discharge from the draining sinus into the mouth.
134819,"Mix this with cow milk and boil, then drink it."
134901,"With the available information, the answer is as follows: Kindly follow the below advice:"
134902,"Actually, my problem is I do not get wet, and I do not experience any sexual feeling whatever I watch or whatever I do (I mean sexual act or masturbation)."
134916,"If you are in pain, sit in a saltwater bath, apply ice packs, take Paracetamol."
134956,So I suggest you take medicine as advised by your dentist.
134979,Can I still have sex if my partner uses a condom?
135005,But I need some information and investigation reports to confirm it further.
135020,I took the Ellaone emergency contraceptive pill two days ago and have started my period today.
135033,"But, before the marriage, I used to masturbate once or twice a week and always got a very hard erection."
135068,Everyone picked up their drinks from the barrel.
135118,"And then, I had a new boyfriend."
135126,And I am using pH care every day.
135165,A jerky septum means that there is slight dyssynchrony between the septum and the other left ventricle walls.
135268,"Also, I have a migraine."
135401,Unwanted 72 is an emergency contraceptive pill containing high amount of progesterone.
135425,Thirdly splash your face with cold water or take a bath and drink a glass of water.
135435,"I am having a slight headache although I had a stressful day, but I am scared and worried."
135515,"I have got enlarged spleen, IBS, and also no absorption from the gut."
135593,I can exactly tell you about your case on seeing radiographs and clinical pictures of teeth if you can provide.
135663,Does dairies affect pimples?
135736,A 45-day-old street puppy's teeth touched my finger yesterday but there was no bleeding.
135772,Long term use of steroid lower body's immunity and lead to infection and other diseases in your body.
135853,"Stress is part of everybody's life today, but if you really want to enjoy your healthy life, you have to know how to deal with the stress."
135884,"If these sound difficult, at least interact on phone."
135899,I would suggest getting a test called the ankle-brachial index (ABI).
135920,Genes mean that if your parents are skinny then there are chances that you will be lean.
135992,"As for as three-vessel disease and diabetes mellitus, the evidence favors CABG (bypass) if there are suitable targets (which means vessels can be attached as a bypass)."
136014,"Since you have already given antibiotics for four days, there is no point in continuing antibiotics."
136072,Montair contains Montelukast which is leukotriene inhibitor which reduces the concentration of pro-inflammatory substances.
136074,"Try to avoid cold winds, dust, house dust, etc."
136119,Ask your friend to get the regular follow up of his psychiatrist.
136206,"You are having headache for the last one year, so definitely treatment is needed."
136291,Type 1 herpes is a sexually transmitted virus.
136315,"As far as I can tell, it is the only tooth with any signs of gum recession, and I think it might be due to crowding (my lateral incisor and first bicuspid are slightly behind and might well be pushing forward) because of that."
136335,Marriage is a cause of joy but it is a stress in itself.
136344,Send follow up to this query if you have any other symptoms.
136411,"Well, there is a generalized increased risk with increased age of mother."
136439,I take Quetiapine XR 400mg.
136509,It is bright red also.
136570,Answers to all the above questions shall help me guide you much better.
136571,"I eat healthy, I workout, but I am not able to lose weight."
136585,"The second value ""dia"" is the diastolic pressure which is the pressure of blood entering the right side of the heart which then enters the lungs."
136616,I wonder if typing all day could cause a hand tremor?
136662,I will be happy to review your X-rays if you need me to.
136767,"In my opinion, you should consult a physician first because you need a thorough neurological examination."
136812,It causes difficulty in swallowing and is associated with chest pain.
136831,Please visit your nearest hospital to get yourself evaluated further.
136930,Try out moderate exercises and not the high intensity ones.
136937,I had my last period on the 1st of last month.
136940,It is the 39th day and I took a pregnancy test on the 38th day and it came out to be negative.
136963,"I think that I got it because I went running, sweated, stopped and then walked slowly with wet clothes through the night for about 30 to 40 minutes."
137168,"Recently, I had sex with a lady."
137188,Can the HIV virus be hidden for a very long time?
137235,"Recently, I had a health checkup."
137374,This problem is 4 to 5 months old and I am not taking any treatment.
137436,USG abdomen to rule out PCOD and assess adrenals.
137469,I would advise you to have a visit to your nearest dentist.
137490,"At this stage, it is showing a nonunion, but I can easily bear weight and there is no pain or swelling."
137497,"So, proper union of any fracture involving these two bones is important."
137538,"First of all, I would like to inform you that from the described symptoms it seems that there is Generalized Anxiety Disorder with panic attacks."
137622,"It does not matter whether the weather is hot, cold, windy, rainy or dry I will have an outbreak."
137676,"For the pain relief, you may switch to tablet Aceclofenac 100 mg twice a day, as it is more effective and free from side effects."
137799,I have potentially been exposed to HIV.
137822,"Started a new job (career) as well as ended that relationship, missed a period."
137847,Any suggestions for anything to stop this discomfort and nosebleeds?
137896,"You have to consult your gynecologist, confirm the gestational age."
137942,Consider application of Mupirocin 2 % cream twice daily with Clotrimazole 1 % cream twice daily.
138037,"But, whenever the baby is vitally stable, the baby can be started on the feed througha tube (RT feed)."
138096,Any collateral veins with incompetent perforators will also be known.
138129,I am highly worried.
138217,"I used my finger to check and saw blood, so wore a safety napkin throughout the last night while asleep and woke up with nothing on it."
138278,Please be assured that your action will not harm the baby in any way.
138417,Assuming a 1/8” cut with a depth of 3/8” and this works out to 51.56 cubic inches of dust released into the air.
138445,"As you are planning for IVF within next three months, you need to prepare your mind, general health and uterus for conception."
138574,"My advice to you will be: If the condition does not improve in 2 to 3 weeks time, you may have to get certain tests done for your evaluation."
138576,"I am currently bleeding through my nostrils, having underskin blood spots and pain in my ankle."
138758,"Also, take an oral rehydration solution (ORS)."
138789,"Using deodorant sprays or other feminine products, such as douches and powders, in the genital area can irritate the urethra."
138813,Better to use natural products locally and not chemical.
138835,Plica is a tissue that remains behind when the knee joint is formed (from multiple small pockets).
138858,Needle core biopsy of 1.5 cm lymph node in the abdomen at porta hepatis.
138884,I am having acute pain in gum and tooth on the left-hand side and a few days ago the left back corner tooth broke.
138931,Is coffee good for health?
138937,I do not have any information on your BP.
138957,Apicoectomy is more invasive and will remove a small unfilled lower portion of the tooth and then accordingly seal the apex of the root.
138958,This also is a way to seal off the apex for underfilled root canals in RCT.
138985,"Her doppler comments are E/A ratio is reversed TR, MR is seen and the conclusion is severe TR or severe PAH and preserve left ventricular functions."
139064,"If she has short irregular cycles of 28 days or less, then it is better to have Ipill as in regular cycles of 28 days there is a fertile period from day 8 to day 13."
139078,I would like to know what exactly is wrong with me.
139088,"Hello doctor,Is this a tooth abscess or root canal may be?"
139093,"The permanent solution for this is tooth removal (extraction or surgical removal, which can be confirmed after seeing X-ray: OPG or IOPA)."
139126,I only mention this as I am worried that maybe the untreated infection could have spread from the root of the tooth to my heart?
139134,We need to listen to the heart and then go for thorough physical exam.
139201,This test will tell you which food and fruits you are allergic to and you should avoid having those foods.
139227,It delayed the appearance of pimples but did not stop them.
139259,Weaning off is to maintain the satisfactory threshold and to stop.
139267,I suggest you Folic acid supplements and Iron supplements.
139283,"So, it is essential to substitute it by other vitamin supplements."
139318,You are very close to your mother and sister emotionally and feel let down by them.
139353,Now few changes are noted in the biopsy are also seen in tuberculosis.
139369,"Also, if you could place small cotton with a little clove oil, it will be very helpful."
139454,"If it rises even more, then stop statin and remeasure levels after two months."
139536,Is there any probability that I got diabetes by this time?
139553,The tooth may require a root canal treatment (confirmed on the X-ray).
139561,He is not a romantic person.
139661,"If so, what is the dosage?"
139666,Last year I had depression with anxiety episodes (diagnosed by the psychiatrist).
139680,"If you have been experiencing anxiety episodes every single day or at least 3 to 4 times a week, I would advise you to take Paxil 12.5 mg in the morning and gradually consult a psychiatrist to alter the dosages."
139685,That resolved in half an hour.
139721,"Usually, dilution mentioned on the package can be followed, that is, 30 ml for 1 scoop for most of the brands."
139754,"Proper secretion does not occur many times when one or both of you are not interested in sex but, to please the other partner you carry out sexual activity."
139805,Your SGOT is slightly elevated.
139847,"Also, having immediate dentures over implants, my dentist gave me a water pik and said it is fine to leave the immediate dentures in for a month while my extraction area is healing."
139881,Please assist me with next course of action.
139912,What should I do to overcome this?
139932,Ask her to take enough fluids.
139949,What medicine should I give for the quick relief?
140046,About weeks later started hurting again but nothing too bad.
140080,I had taken Meprate one month back and still have not got my periods.
140296,I feel so bad and embarrassing.
140350,Will there be any side effects?
140371,Mild Peridecidual Bleed.
140402,"Also, I would advise you to have good oral hygiene from now on and brush your teeth twice daily and floss regularly."
140513,Rest ice mobilization of soft tissue and manipulative correction of deranged segments.
140619,"For symptomatic relief, antiallergic medicine like tablet Allegra 120 mg once a day preferably bedtime till this resolves."
140711,"We consulted the doctor (general physician), advised CBC, TSH, vitamin D, vitamin B12."
140712,I am attaching reports.
140746,As pregnancy progresses the dose of Insulin will need titration.
140926,"With that, I am facing hair fall, skin infections, overweight, high cholesterol, and memory loss."
140955,"Otherwise, it can lead to some of the serious complications to the brain, heart, nervous system, etc."
140957,I would advise you to have a visit to your nearest dentist and also make an appointment with the general physician for eliminating any other cause for the same.
140978,How are Meprate and intercourse related?
141076,We also need to consider family history and support available for her.
141086,You will need proctoscopy (medical examination of the anal cavity with a thin tube).
141105,"Pelvic inflammatory disorders, PCOS, dysmenorrhoea, menororrhagia."
141109,"Kuberakshadi Vati one tablet, Nityanand Rasa one tablet, Chandraprabha Vati one tablet, and Pushyanuga Churna 2 gm, Styplon one tablet with warm water after meals."
141110,Ashokaristam 15 ml twice a day with an equal amount of water after meals.
141135,He told me to consult with a surgery specialist and he will tell me what to do.
141279,"To avoid fat, pepper in the diet."
141316,"In some cases, dysphagia can be a direct result of esophageal damage."
141328,Smoothing of edges.
141412,"The next day, I had another bowel movement, and there was a lot less blood on the toilet paper than the day before."
141452,"Yes, you will definitely be able to eat outside."
141455,There are pharmacological and non-pharmacological treatments to solve your problem.
141510,"As you have explained, you never achieved intercourse?"
141604,You strongly require medication and counseling for motivation and to understand your psychological condition.
141605,All baseline investors.
141817,"Usually, patients are asked to report for the test in the morning, before breakfast (after about 8 hours of fasting)."
141823,The normal range of post meals blood sugar should be less than 180 mg/dL.
141844,Can others drink water with my used glass?
141909,"I am 31 years old unmarried woman, but in a relationship since last four years."
141914,I am worried about my prognosis.
141958,Are children really more susceptible to the formation of hypertrophic scars after scar excision?
142109,I usually only lose a couple of minutes.
142161,But they are of no help.
142338,You can also end the day with a bowl of fruit salad.
142392,"Paroxysmal AF is one in which rhythm is restored to sinus within seven days, persistent is seven days to 12 months, long-standing persistent is more than 12 months."
142403,Will it cause any problem like make bacteria grow?
142452,We have admitted him in the hospital and he had a surgery for left FTP contusion and acute SDH.
142475,I am suffering from panic disorder.
142489,"In such a case, she might require a colonoscopy or surgery to remove the cell."
142555,"The key to treatment is to let the skin heal, remove any cause of irritation, and break the cycle of itch and scratch, which is bound to have resulted in thickening of the affected skin."
142557,"Now, she has developed arthritis."
142626,Can you please review my ECG?
142662,Should we get her a tetanus shot?
142696,"For that, you need to get your blood tests done."
142698,But I advice you to visit a nearby general physician as he will do the clinical examination.
142712,The effects on sex life occur because of psychological reasons only.
142863,"It depends upon the cause for which the surgery is being done, and what open heart surgery is being done."
143005,You will need 24-hour Holter monitoring which will correlate your symptoms with heart rate and rhythm.
143031,"Firstly, I would like to assure you that it is not a serious problem."
143037,"Have a normal and good diet where you eat meals including a carbohydrate, protein, and fat in each meal which should be four hours apart."
143083,"Liver transplant is the only curative option but with the current situation, at least some partial recovery would be perhaps needed before the transplant can be taken up particularly for kidneys."
143186,"From the complaints you had described, mostly it could be related to poor posture at your workplace."
143189,Anxiety is every day of my life.
143195,"With your brief description, it appears that you are suffering from some anxiety disorder most probably generalized anxiety disorder."
143202,"One month is over, and there is no improvement seen yet."
143214,"My father, who is 57 years old, was suggested to go for AVR (valve replacement)."
143282,Your partner can have a local application of antibiotic and antifungal cream (Candid B or Candiderma or Lobate GM) on the penis twice a day after wash for seven days.
143370,"As per the report, only apparent problem is that she has mild anemia, microcytic hypochromic (attachment removed to protect patient identity)."
143429,The side effects of Depakote (Sodium valproate) on the liver are quite common and well known.
143570,"Hot fomentation is quiet useful in a majority of cases- Wrap your hands around a hot coffee mug making your palms warm, close your eyelids and give this warmth to your eyelids by pressing your palm against your eyelids or the traditional way is to soak a clean cloth in water that is comfortably hot, squeezing out all the water from the cloth and then pressing the hot cloth to your closed eyelids atleast for 10 minutes, twice a day."
143591,Or could it be some sort of STD?
143676,An underwired bra or any kind of pressure on the breast could have caused a plugged milk duct.
143680,"Before nursing, gently massage your breast with hot water steam."
143706,Now they have told us to wait and concentrate on the baby's weight gain.
143716,Now I am with severe pain.
143743,"But due to angina or short breathing, tablet Flavedon MR also started for three weeks."
143760,And seizure during pregnancy can cause abortion or fetal distress.
143834,It appears you have a fissure.
143892,This is also important to remember that these symptoms may be present in other medical and psychiatric disorders as well.
143929,Also is it fatal?
143950,"Rebalanze one small sachet in 200 ml of water, and give as much as she can take."
143951,"About a week ago, I got four fillings."
144049,I have numbness in my right side of the face and right arm and right hand.
144072,Why I have spotting after the period?
144074,If it prevents ovulation so the number of follicle eggs would increase?
144095,Day by day my problem is increasing.
144123,But I think you have never probably seen this keenly.
144141,Suddenly a quick jerk.
144166,My gums are sore and bleed randomly as well as when I brush.
144259,I understand that Prozac (Fluoxetine) is a known cause of low libido and this might be a single or contributory cause in your decreased libido.
144308,We went to GP and urine sample showed no infection.
144310,We went to A and E and urine still showed no infection.
144324,"If it is established that it is a stricture, then the treatment will vary according to the location and severity."
144470,"As long as you were taking Levothyroxine, your body levels of T3, T4 hormones were maintained at normal levels."
144532,"I have read a lot of horror stories about people suffering from anxiety, and this is driving me more insane."
144592,"First of all, I would like to know how are you feeling now on the medication?"
144618,Coffee can also increase your metabolism.
144619,Include green tea around three cups a day.
144841,I hope you can help me because I am at my wit's end right now.
144882,And the management of different disorders varies according to etiology.
144887,My daughter is 1 month and 26 days old.
145043,"Also keep a headache diary which will help you determine what triggers your headache, wherein the head is the pain, when it started, and how long it lasted."
145122,Wish you get well soon.
145134,I request you to kindly upload a few images of the affected area on the face so that I can guide you better.
145185,"I passed carefully through your concern and would explain that as your cardiac tests (ECG and echo) have resulted normal at rest (attachment removed to protect patient identity), an obvious cardiac disorder is primarily excluded."
145318,"Until then, I request you not to indulge in those activities that bring the swelling in the vein as a precautionary measure."
145323,I went back to my PCP 10 days later for blood work to see if my hormone levels are going up or down.
145328,Could this be because of the Medroxyprogesterone?
145401,The similar uncomfortable feeling started to happen to me before some time (like sudden feet muscle or vein cramp or pain while standing up from sitting).
145433,"Medicines which I am taking now is Fixit 300 (Nizatidine 300 mg), Loflam (Aceclofenac 100 mg), Joint free triple action (Glucosamine, Chondroitin, and MSM)."
145438,The process of relief takes a long time so do not get frustrated and believe me this is a curable condition but effort has to be yours.
145452,"Restrict foods that worsen your constipation, if any, and consequently complicate fissure issues still."
145483,I did a root canal on the upper first molar tooth before three weeks.
145556,I had contacted a cardiologist yesterday.
145561,After seeing the blood test report he said it is not a heart attack and provided Ecospirin for seven days.
145616,But definitely not required for a low grade fever.
145634,The guy has stated the same problem regarding marriage.
145670,"Avoid foods and beverages that cause bad breath, eat more fruits and vegetables, take sufficient amount of water, try sugar-free gum if your mouth tends to get dry."
145727,"Since you just had an abortion, there is no chance of pregnancy as there is no ovulation happening during this period."
145745,Now let us go to discuss the etiology (cause) of the defect: Causes of aortic valve stenosis are multifactorial.
145836,"A few days back, I found these red bumps on my thigh and they had appeared out of nowhere."
145848,I had a big night with lots of alcohol and several lines of Cocaine.
145876,The description given here about you and your symptoms are really thought-provoking for any psychologist.
145904,"At five months, that is between 18 to 20 weeks do an anomaly scan."
146045,"For the past few days, I have had difficulty swallowing, a sore throat, and these white spots on the back of my throat that keep getting bigger."
146073,"No, you can never get pregnant with oral intercourse only."
146147,"Also, get your blood pressure checked once."
146164,"I wish I had the results of the exam for you, but they are around 300 miles away at the moment."
146190,"Other two times I followed her and touched her arm softly and I said ""I need to tell you something dear"", to try to grab her attention to talk solutions but she did what she has been always doing lately which is walking back fast to the room and locked herself."
146229,"Now, if you were scratched and there was no bleeding we consider it as category 2 dog bite."
146230,"Initial symptoms of rabies can be fever with pain and unusual or unexplained tingling, pricking, or burning sensation at the bite site and other signs related to the nervous system."
146256,"Mascara contains iron oxide, carbon black along with a base of paraffin or mineral oil."
146319,It will be solved easily.
146394,"Investigations to be done are CBC (complete blood count), LFT (liver function test), RFT (renal function test), X-ray, RF (rheumatoid factor), ANA (antinuclear antibody), HIV (human immunodeficiency virus), HBsAg (hepatitis B surface antigen), Anti HCV (anti-hepatitis C virus), TFT (thyroid function test)."
146401,The report also mentions that the normal capacity of a bladder is about 400 ml whereas my bladder's capacity is only 70 ml stating that my bladder has shrunk.
146429,You also need to make a bladder volume diary.
146453,You should be started on tablet Rosuvastatin (Rosulip) 10 mg bedtime for eight weeks and repeat lipid profile after this time period.
146501,I was under treatment for thrush.
146554,So I gave Meftal P 100 mg.
146670,You may also need to do MRI of a brain to rule out any intracranial mass or an aneurysm.
146765,Take medications on time.
146801,"I had an extraction of 6, 7, 8 and 9 yesterday."
146897,Is this EKG normal?
146935,Nasowash is a premixed sachet with saline powder which you gotta mix in water and douche the nose.
147074,"Also, ultrasound of liver is advisable to confirm fatty liver."
147081,Rest of your blood parameters are fine and figures in red are not necessarily abnormal.
147137,You and your baby will be fine.
147150,"You may not be gaining weight, but your blood cholesterol may be the culprit."
147153,Have a birth control pill like Dronis 30 or Doris or Tarana or Yasmin (contains Drospirenone) cyclically for three to six months.
147201,What difficulty you have?
147247,"It should be wholesome, with a well-balanced diet."
147356,Do mouth gargles using Chlorhexidine mouthwash (1:1) two times daily.
147444,It will provide benefits to both of you.
147445,I have pain in the last tooth of the upper jaw.
147473,Please explain about the purpose for doing colonoscopy and endoscopy.
147490,But my child does not have a wound or blood there.
147500,You should wash the area properly and apply antiseptic.
147501,"If there is a wound, you must give antibiotics."
147544,I am diabetic for the past ten years.
147551,I am not interested in increasing the dose of Metformin to 1000 mg twice as a concern of weight loss.
147558,Loss of weight will help to control sugar levels better.
147565,"But I had unprotected sex on the third day of my periods, and I took I-pill within 10 hours."
147600,Please suggest me a good homeopathy medicine for constipation.
147724,So think all the possibilities.
147757,A nerve irritation issue?
147761,One more thing I almost forgot.
